Gene	Num
PPP2R1B	1
PTCHD1	1
DCX	1
ARHGEF11	1
SHC1	1
PAPD5	1
LAMA2	1
DHCR7	1
LAMB1	1
SPPL2C	1
RBMX2	1
MYO1D	1
DYRK4	1
KIAA1217	1
PIK3C2B	1
UBE2G2	1
UBAP2L	1
PROX2	1
ROR1	1
CHRM5	1
TTBK2	1
GPATCH8	1
RINT1	1
NOMO2	1
STRN	1
KDM5D	1
TMEM18	1
ISX	1
UBR5	1
LIMS2	1
BLZF1	1
TMEM104	1
STK10	1
APH1B	1
RGS2	1
ADIPOR1	1
RP1	1
NCCRP1	1
SPC25	1
PIAS1	1
RETSAT	1
MEX3B	1
TTBK1	1
SYT1	1
NOMO1	1
ALCAM	1
EPOR	1
ARHGAP24	1
TSKS	1
USB1	1
NARS	1
SIX3	1
CCL17	1
GTF2H1	1
ZNF142	1
CR1	1
CRB1	1
ZNF384	1
ATP8B3	1
CHD8	1
GPR6	1
ETS1	1
GRIN2C	1
TFEB	1
CAGE1	1
PCDH11X	1
LAMB2	1
SI	1
CSRNP3	1
BAZ2A	1
CDON	1
NAA35	1
FGF11	1
LYVE1	1
KIDINS220	1
KDM2A	1
MROH5	1
WEE2	1
NCOR2	1
UBP1	1
PREX1	1
POLR1A	1
FRA10AC1	1
SPTB	1
ERBB3	1
CNGB1	1
GPBP1	1
EGR1	1
KIF3C	1
KCNJ14	1
SH2D4B	1
PCDHA4	1
CLP1	1
DOCK7	1
MEGF8	1
SALL3	1
NUP205	1
IFI44	1
ENPP2	1
ADCY5	1
HECTD4	1
ATP2B2	1
KLHL5	1
IRF9	1
C5orf56	1
XPO4	1
MTL5	1
SH3PXD2A	1
ABCA10	1
ZNF835	1
EIF4G1	1
MYO9A	1
ITGA6	1
BRD4	1
SYT3	1
C2CD5	1
ABCB7	1
ANKS1B	1
ZNF440	1
DHRS7B	1
TMEM67	1
SYT17	1
MFSD2B	1
ATXN7L1	1
DLEC1	1
GPD2	1
MARVELD3	1
HKDC1	1
SFXN1	1
TMEM200A	1
ADNP	1
TRAV19	1
FAM133A	1
NIPBL	1
TTF2	1
ARHGEF15	1
GPBAR1	1
TRIM13	1
CENPF	1
TMEM131	1
NCAPG2	1
CCDC108	1
SLC7A10	1
COL13A1	1
AHR	1
NEU3	1
PMS2	1
SALL2	1
CNTNAP5	1
OR7D4	1
AURKAIP1	1
TNRC18	1
SEC16B	1
DHX36	1
GUCA1A	1
APOL2	1
ZNF91	1
INHBB	1
SLC7A9	1
SPATA21	1
SLITRK1	1
ZNF548	1
RPS3A	1
ARHGAP10	1
NAA15	1
NUCKS1	1
PRKD3	1
XRCC1	1
OTOA	1
ERBB2	1
HACE1	1
PSMD5	1
CNGA3	1
FAM71A	1
USP16	1
WDFY3	1
NDRG2	1
MGST3	1
COL7A1	1
KRT20	1
B3GALT4	1
PBXIP1	1
CLCN1	1
TUBG2	1
ROCK2	1
CAMTA2	1
UBQLN3	1
ZBTB12	1
